number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
62,0.002762926022114698,2026-03-12 16:42:01.266294,2026-03-12 16:42:02.809997,0 days 00:00:01.543703,128,0.3890651159452216,2,128,0.002308755155560039,4,1,2,0.03235771206454719,PRUNED
63,0.0017669774388195947,2026-03-12 16:42:02.882000,2026-03-12 16:42:04.451134,0 days 00:00:01.569134,128,0.3425156110059009,2,128,0.003857613893593329,4,1,2,3.82464752538615e-05,PRUNED
64,0.00016942054935498163,2026-03-12 16:42:04.524227,2026-03-12 16:42:11.324793,0 days 00:00:06.800566,128,0.44377154819460174,2,128,0.004916938842101417,4,1,2,1.4663531810309596e-05,COMPLETE
65,0.00017168076010420918,2026-03-12 16:42:11.395795,2026-03-12 16:42:17.683473,0 days 00:00:06.287678,128,0.41905096386011514,2,128,0.004011931878320625,4,1,2,1.448886249873581e-05,COMPLETE
66,0.00018372179329162464,2026-03-12 16:42:17.751473,2026-03-12 16:42:21.237240,0 days 00:00:03.485767,128,0.44763493427741574,2,128,0.004124256640507,4,1,2,2.326060174187301e-05,COMPLETE
67,0.0018034085223916918,2026-03-12 16:42:21.305873,2026-03-12 16:42:22.908719,0 days 00:00:01.602846,128,0.3998126201048617,2,128,7.800120820282084e-05,4,1,2,1.5481441165642496e-05,PRUNED
68,0.0003460949976995055,2026-03-12 16:42:22.979965,2026-03-12 16:42:25.750549,0 days 00:00:02.770584,64,0.38350900082258166,2,128,0.004920704760343854,4,1,2,7.389573855941039e-05,PRUNED
69,0.00019235390209360048,2026-03-12 16:42:25.818849,2026-03-12 16:42:29.222068,0 days 00:00:03.403219,128,0.4372477614536859,2,128,0.001705170194242781,4,1,2,2.7998416485240398e-05,COMPLETE
70,0.0001715126672934275,2026-03-12 16:42:29.299068,2026-03-12 16:42:37.902189,0 days 00:00:08.603121,128,0.4193767795005562,2,128,0.003340602161554926,4,1,2,5.537954076320343e-05,COMPLETE
71,0.00017752865824149922,2026-03-12 16:42:37.973195,2026-03-12 16:42:44.100949,0 days 00:00:06.127754,128,0.4138074825067818,2,128,0.004950975161979979,4,1,2,9.605560008351536e-05,COMPLETE
